
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.45348237850203      eV
 Composition: x =   0.12500000000292860     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     36      192           -65561.51409      -61058.79320    0.629809E-04    0.328026E-06
  6     37       48           -65561.51811      -61058.79721    0.183928E-04    0.383184E-06
  6     38       96           -65561.51989      -61058.79899    0.394077E-04    0.410497E-06
  6     39       96           -65561.51745      -61058.79656    0.358667E-04    0.373612E-06
  6     40       96           -65561.52718      -61058.80629    0.522494E-04    0.544265E-06
  6     41       48           -65561.51654      -61058.79565    0.173131E-04    0.360689E-06
  6     42      192           -65561.54816      -61058.82727    0.235284E-03    0.122544E-05
  6     43       24           -65561.51377      -61058.79288    0.777637E-05    0.324015E-06
  6     44       96           -65561.52518      -61058.80428    0.483577E-04    0.503726E-06
  6     45      192           -65561.54372      -61058.82282    0.198116E-03    0.103186E-05
  6     46      192           -65561.55012      -61058.82922    0.253767E-03    0.132170E-05
  6     47       96           -65561.54490      -61058.82401    0.103708E-03    0.108030E-05
  6     48       96           -65561.55341      -61058.83252    0.144132E-03    0.150137E-05
  6     49       96           -65561.57079      -61058.84990    0.282291E-03    0.294053E-05
  6     50       48           -65561.53532      -61058.81442    0.357902E-04    0.745628E-06
  6     51       96           -65561.57028      -61058.84939    0.276819E-03    0.288353E-05
  6     52      192           -65561.57470      -61058.85380    0.656666E-03    0.342013E-05
  6     53       96           -65561.57929      -61058.85840    0.392245E-03    0.408588E-05
  6     54       48           -65561.57496      -61058.85407    0.165858E-03    0.345537E-05
  6     55      192           -65561.56311      -61058.84222    0.419510E-03    0.218495E-05
  6     56       96           -65561.57904      -61058.85815    0.388470E-03    0.404656E-05
  6     57       16           -65561.54741      -61058.82652    0.190449E-04    0.119031E-05
  6     58       48           -65561.51364      -61058.79275    0.154735E-04    0.322365E-06
  6     59       48           -65561.55833      -61058.83743    0.871560E-04    0.181575E-05
  6     60       96           -65561.60610      -61058.88521    0.110631E-02    0.115241E-04
  6     61      192           -65561.59742      -61058.87652    0.158133E-02    0.823611E-05
  6     62       96           -65561.62828      -61058.90739    0.260937E-02    0.271809E-04
  6     63       96           -65561.60348      -61058.88258    0.999571E-03    0.104122E-04
  6     64       48           -65561.61413      -61058.89324    0.754680E-03    0.157225E-04
  6     65       48           -65561.59121      -61058.87031    0.310914E-03    0.647737E-05
  7      1      192           -66311.94451      -61058.77013    0.258094E-04    0.134424E-06
  7      2       48           -66311.97842      -61058.80405    0.239569E-04    0.499103E-06
  7      3       96           -66311.94963      -61058.77526    0.157342E-04    0.163898E-06
  7      4       96           -66311.91560      -61058.74122    0.421793E-05    0.439367E-07
  7      5       48           -66311.91094      -61058.73656    0.176069E-05    0.366811E-07
  7      6       96           -66311.93192      -61058.75754    0.792981E-05    0.826022E-07
  7      7       96           -66311.96458      -61058.79021    0.280507E-04    0.292194E-06
  7      8      192           -66311.94323      -61058.76886    0.245646E-04    0.127940E-06
  7      9      192           -66311.96152      -61058.78714    0.498349E-04    0.259557E-06
  7     10      192           -66311.97454      -61058.80016    0.824600E-04    0.429479E-06
  7     11      192           -66311.98827      -61058.81389    0.140259E-03    0.730515E-06
  7     12      192           -66311.96920      -61058.79483    0.670840E-04    0.349396E-06
  7     13      192           -66311.97897      -61058.80459    0.978770E-04    0.509776E-06
  7     14      192           -66311.95455      -61058.78017    0.380504E-04    0.198179E-06
  7     15      192           -66311.94879      -61058.77441    0.304553E-04    0.158621E-06
  7     16      192           -66311.97501      -61058.80063    0.839761E-04    0.437375E-06
